epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,107392,0.73958,0.73022,1.16806,0.76977,0.74852,0.75871,0.60512,0.61402,0.56143,0.99784,0.006535,0.006535,0.006535
44,109899,0.74032,0.72862,1.16741,0.76855,0.75246,0.76228,0.60688,0.61171,0.56044,0.99547,0.0064525,0.0064525,0.0064525
45,112402,0.73681,0.72241,1.16617,0.76914,0.7524,0.76241,0.6079,0.61112,0.55856,0.99488,0.00637,0.00637,0.00637
46,114968,0.73797,0.72499,1.1649,0.76907,0.74021,0.74922,0.59879,0.61038,0.55715,0.99394,0.0062875,0.0062875,0.0062875
47,117567,0.73384,0.71995,1.1637,0.76968,0.75425,0.76221,0.60773,0.60889,0.55606,0.99276,0.006205,0.006205,0.006205
48,120193,0.73334,0.7208,1.16389,0.76911,0.75487,0.76265,0.60943,0.60748,0.55538,0.99196,0.0061225,0.0061225,0.0061225
49,122774,0.73082,0.71926,1.16144,0.76886,0.75419,0.76155,0.6076,0.60625,0.55512,0.99049,0.00604,0.00604,0.00604
50,125272,0.73103,0.71762,1.16458,0.76775,0.75837,0.76462,0.60876,0.60585,0.55505,0.99028,0.0059575,0.0059575,0.0059575
51,127717,0.73132,0.71495,1.16216,0.76746,0.75315,0.7654,0.60937,0.60434,0.55442,0.98853,0.005875,0.005875,0.005875
52,130158,0.73111,0.71701,1.16336,0.78081,0.74311,0.76186,0.60655,0.60356,0.55411,0.9882,0.0057925,0.0057925,0.0057925
53,132444,0.72743,0.71412,1.15949,0.78511,0.74418,0.76651,0.60951,0.60281,0.55407,0.98694,0.00571,0.00571,0.00571
54,134690,0.72763,0.70793,1.16158,0.78197,0.74452,0.76755,0.61074,0.60206,0.5537,0.9867,0.0056275,0.0056275,0.0056275
55,137097,0.72702,0.70845,1.16157,0.77758,0.74228,0.76544,0.60907,0.60126,0.55232,0.98566,0.005545,0.005545,0.005545
56,139461,0.72556,0.7082,1.15994,0.77022,0.74972,0.76713,0.60965,0.60078,0.55205,0.98568,0.0054625,0.0054625,0.0054625
57,141862,0.72694,0.7031,1.16017,0.77987,0.74379,0.76373,0.60712,0.59874,0.55103,0.98416,0.00538,0.00538,0.00538
58,144255,0.72305,0.70453,1.15741,0.7806,0.74491,0.76469,0.60848,0.59713,0.55135,0.98307,0.0052975,0.0052975,0.0052975
59,146663,0.71972,0.69757,1.15741,0.78227,0.74583,0.76688,0.61109,0.59585,0.5498,0.98182,0.005215,0.005215,0.005215
60,149110,0.72052,0.70373,1.15666,0.78279,0.74296,0.76711,0.61145,0.59326,0.54835,0.97993,0.0051325,0.0051325,0.0051325
61,151636,0.71711,0.69891,1.15719,0.78521,0.71242,0.73208,0.58477,0.59306,0.54749,0.98022,0.00505,0.00505,0.00505
62,154054,0.7184,0.6959,1.156,0.78476,0.74221,0.76581,0.61107,0.59269,0.54564,0.97959,0.0049675,0.0049675,0.0049675
63,156621,0.71225,0.69415,1.15156,0.78577,0.74105,0.76566,0.61067,0.59206,0.54389,0.97944,0.004885,0.004885,0.004885
64,159173,0.71391,0.69619,1.15403,0.78502,0.74112,0.76579,0.61171,0.59074,0.5428,0.97888,0.0048025,0.0048025,0.0048025
65,161778,0.71652,0.69546,1.15507,0.78402,0.74302,0.76558,0.61153,0.58951,0.54226,0.97775,0.00472,0.00472,0.00472
66,164460,0.71465,0.69374,1.1539,0.7868,0.74308,0.76689,0.61238,0.58906,0.54192,0.97692,0.0046375,0.0046375,0.0046375
67,167279,0.70939,0.69065,1.15079,0.78848,0.74245,0.76681,0.61246,0.58907,0.54098,0.97676,0.004555,0.004555,0.004555
68,169749,0.7053,0.68857,1.15003,0.78495,0.7415,0.76694,0.61241,0.58941,0.54064,0.97753,0.0044725,0.0044725,0.0044725
69,172023,0.70727,0.68173,1.14998,0.7818,0.74739,0.76692,0.6117,0.58845,0.5403,0.97682,0.00439,0.00439,0.00439
70,174135,0.70842,0.6829,1.15111,0.76861,0.75197,0.76811,0.61263,0.5883,0.53924,0.97683,0.0043075,0.0043075,0.0043075
71,176295,0.7034,0.6821,1.14746,0.76674,0.75538,0.76867,0.61369,0.58711,0.53872,0.97588,0.004225,0.004225,0.004225
72,178470,0.70334,0.67727,1.14795,0.7737,0.75617,0.77067,0.61415,0.58533,0.53749,0.97414,0.0041425,0.0041425,0.0041425
73,180759,0.70458,0.67744,1.14797,0.77509,0.75193,0.77121,0.61593,0.5846,0.53709,0.97359,0.00406,0.00406,0.00406
74,182938,0.7009,0.67061,1.14483,0.7715,0.75205,0.77009,0.61571,0.58399,0.5359,0.97294,0.0039775,0.0039775,0.0039775
75,185106,0.69817,0.67358,1.14392,0.77096,0.75456,0.77232,0.6157,0.58313,0.53635,0.97175,0.003895,0.003895,0.003895
76,187436,0.69677,0.66991,1.14312,0.768,0.75283,0.76999,0.61622,0.58408,0.53535,0.97219,0.0038125,0.0038125,0.0038125
77,189818,0.69621,0.67091,1.14433,0.7687,0.75582,0.77196,0.61513,0.58371,0.53365,0.97194,0.00373,0.00373,0.00373
78,192069,0.6946,0.66981,1.14207,0.76586,0.75463,0.77055,0.61553,0.58358,0.53333,0.97121,0.0036475,0.0036475,0.0036475
79,194304,0.69692,0.66847,1.14332,0.77418,0.75681,0.77199,0.6157,0.58227,0.53128,0.96962,0.003565,0.003565,0.003565
80,196488,0.69157,0.66119,1.14107,0.77448,0.75801,0.77259,0.61629,0.58142,0.53031,0.96878,0.0034825,0.0034825,0.0034825
81,198603,0.69159,0.66573,1.14119,0.77118,0.75833,0.77281,0.61699,0.58062,0.52833,0.9678,0.0034,0.0034,0.0034
82,200824,0.68683,0.65824,1.13811,0.77374,0.7624,0.77348,0.61707,0.57952,0.52708,0.96731,0.0033175,0.0033175,0.0033175
83,203097,0.68513,0.65669,1.13694,0.76421,0.76301,0.77332,0.61804,0.5789,0.52645,0.96723,0.003235,0.003235,0.003235
84,205190,0.68342,0.65298,1.13508,0.76478,0.76544,0.77338,0.6177,0.57835,0.52661,0.96676,0.0031525,0.0031525,0.0031525
85,207296,0.68221,0.65307,1.13625,0.76348,0.76604,0.77249,0.61783,0.57674,0.52498,0.9655,0.00307,0.00307,0.00307
86,209375,0.68311,0.65457,1.13503,0.76625,0.76479,0.77272,0.61795,0.57494,0.52385,0.96399,0.0029875,0.0029875,0.0029875
87,211486,0.67723,0.6463,1.13234,0.76195,0.76397,0.77078,0.61713,0.57474,0.52241,0.96417,0.002905,0.002905,0.002905
88,213548,0.67779,0.64766,1.13334,0.76208,0.76441,0.77189,0.61835,0.5741,0.52178,0.9632,0.0028225,0.0028225,0.0028225
89,215696,0.67671,0.64309,1.13272,0.76688,0.76644,0.77201,0.6176,0.57299,0.52114,0.96158,0.00274,0.00274,0.00274
90,218088,0.67193,0.63667,1.12942,0.77046,0.76684,0.77325,0.61815,0.57245,0.52059,0.96107,0.0026575,0.0026575,0.0026575
91,220095,0.67282,0.64115,1.12877,0.77005,0.76713,0.77357,0.61864,0.57248,0.5204,0.96092,0.002575,0.002575,0.002575
92,222190,0.66916,0.63849,1.12995,0.78026,0.76284,0.77462,0.6206,0.57178,0.51894,0.96009,0.0024925,0.0024925,0.0024925
93,224260,0.66557,0.63411,1.12603,0.77697,0.75931,0.7732,0.62043,0.57107,0.51894,0.95927,0.00241,0.00241,0.00241
94,226422,0.66471,0.63093,1.12599,0.78259,0.7582,0.77263,0.6197,0.57063,0.51881,0.95859,0.0023275,0.0023275,0.0023275
95,228492,0.66347,0.63094,1.12608,0.78425,0.75883,0.77253,0.62018,0.56982,0.51775,0.95813,0.002245,0.002245,0.002245
96,230575,0.66119,0.62767,1.12513,0.78782,0.75782,0.77329,0.61999,0.56919,0.51704,0.95727,0.0021625,0.0021625,0.0021625
97,232623,0.66005,0.6219,1.12286,0.79291,0.75411,0.7735,0.61969,0.56865,0.51613,0.95706,0.00208,0.00208,0.00208
98,234663,0.66005,0.6213,1.12337,0.79977,0.75415,0.77382,0.62039,0.56842,0.51497,0.95641,0.0019975,0.0019975,0.0019975
99,236714,0.65415,0.61991,1.12039,0.79226,0.75812,0.7748,0.62117,0.56798,0.5143,0.95572,0.001915,0.001915,0.001915
100,238741,0.65504,0.61669,1.12012,0.7861,0.76253,0.77548,0.62136,0.567,0.51428,0.95518,0.0018325,0.0018325,0.0018325
101,240811,0.65239,0.6114,1.11943,0.78643,0.76279,0.77574,0.62089,0.56671,0.51386,0.95481,0.00175,0.00175,0.00175
102,242882,0.64949,0.61312,1.11725,0.78719,0.76533,0.77522,0.62055,0.56632,0.51344,0.95431,0.0016675,0.0016675,0.0016675
103,244962,0.64846,0.60702,1.11758,0.78337,0.76397,0.77598,0.62111,0.56688,0.51311,0.95491,0.001585,0.001585,0.001585
104,247038,0.64516,0.60444,1.1145,0.78151,0.76134,0.77563,0.62142,0.56711,0.51327,0.95485,0.0015025,0.0015025,0.0015025
105,249064,0.64084,0.5986,1.11297,0.78536,0.75689,0.77559,0.62176,0.56585,0.5127,0.95372,0.00142,0.00142,0.00142
106,251118,0.6421,0.59964,1.11283,0.77901,0.76517,0.77565,0.62212,0.56583,0.51308,0.95345,0.0013375,0.0013375,0.0013375
